PassengerId,Survived
892,0
893,0
894,0
895,0
896,0
897,0
898,0
899,1
900,0
901,0
902,1
903,1
904,0
905,0
906,0
907,0
908,0
909,0
910,0
911,0
912,1
913,1
914,0
915,0
916,1
917,0
918,0
919,1
920,0
921,1
922,0
923,1
924,1
925,1
926,0
927,0
928,0
929,1
930,1
931,1
932,1
933,0
934,0
935,1
936,0
937,0
938,1
939,0
940,0
941,1
942,0
943,0
944,0
945,1
946,0
947,1
948,0
949,1
950,0
951,0
952,1
953,1
954,0
955,1
956,0
957,1
958,1
959,1
960,1
961,0
962,0
963,0
964,1
965,0
966,0
967,0
968,0
969,0
970,0
971,0
972,1
973,1
974,0
975,1
976,0
977,0
978,0
979,0
980,0
981,0
982,0
983,1
984,0
985,0
986,0
987,0
988,1
989,0
990,0
991,0
992,1
993,1
994,0
995,0
996,1
997,0
998,1
999,1
1000,0
1001,0
1002,1
1003,0
1004,0
1005,0
1006,1
1007,0
1008,0
1009,0
1010,0
1011,0
1012,0
1013,1
1014,0
1015,1
1016,0
1017,0
1018,0
1019,1
1020,0
1021,1
1022,0
1023,1
1024,1
1025,1
1026,0
1027,0
1028,0
1029,0
1030,0
1031,1
1032,0
1033,0
1034,0
1035,0
1036,0
1037,0
1038,1
1039,1
1040,0
1041,0
1042,0
1043,0
1044,0
1045,1
1046,1
1047,0
1048,0
1049,0
1050,1
1051,0
1052,1
1053,1
1054,0
1055,1
1056,0
1057,0
1058,1
1059,1
1060,1
1061,0
1062,0
1063,0
1064,1
1065,1
1066,0
1067,0
1068,0
1069,0
1070,1
1071,0
1072,0
1073,0
1074,0
1075,1
1076,0
1077,0
1078,0
1079,0
1080,0
1081,0
1082,1
1083,0
1084,0
1085,1
1086,1
1087,0
1088,0
1089,0
1090,1
1091,1
1092,0
1093,1
1094,0
1095,0
1096,0
1097,1
1098,1
1099,0
1100,0
1101,1
1102,0
1103,1
1104,0
1105,0
1106,1
1107,0
1108,1
1109,0
1110,0
1111,1
1112,0
1113,1
1114,0
1115,1
1116,0
1117,1
1118,1
1119,1
1120,0
1121,0
1122,0
1123,0
1124,1
1125,0
1126,0
1127,1
1128,0
1129,0
1130,0
1131,0
1132,0
1133,0
1134,0
1135,1
1136,0
1137,0
1138,0
1139,0
1140,0
1141,0
1142,0
1143,0
1144,0
1145,1
1146,0
1147,0
1148,0
1149,0
1150,1
1151,0
1152,1
1153,0
1154,0
1155,0
1156,0
1157,0
1158,0
1159,1
1160,0
1161,0
1162,1
1163,0
1164,0
1165,1
1166,0
1167,1
1168,1
1169,0
1170,0
1171,0
1172,0
1173,1
1174,0
1175,1
1176,0
1177,1
1178,0
1179,0
1180,1
1181,1
1182,1
1183,0
1184,0
1185,0
1186,0
1187,0
1188,0
1189,0
1190,1
1191,0
1192,0
1193,0
1194,1
1195,0
1196,0
1197,1
1198,0
1199,0
1200,1
1201,0
1202,0
1203,0
1204,0
1205,0
1206,1
1207,1
1208,1
1209,0
1210,0
1211,0
1212,1
1213,0
1214,0
1215,0
1216,1
1217,0
1218,0
1219,0
1220,0
1221,0
1222,0
1223,0
1224,1
1225,0
1226,1
1227,0
1228,1
1229,0
1230,0
1231,1
1232,1
1233,0
1234,0
1235,1
1236,1
1237,1
1238,0
1239,0
1240,0
1241,0
1242,0
1243,0
1244,1
1245,1
1246,0
1247,0
1248,0
1249,0
1250,1
1251,1
1252,0
1253,1
1254,1
1255,0
1256,0
1257,1
1258,0
1259,1
1260,1
1261,1
1262,1
1263,0
1264,1
1265,0
1266,1
1267,0
1268,0
1269,1
1270,0
1271,0
1272,0
1273,1
1274,0
1275,0
1276,1
1277,1
1278,0
1279,1
1280,1
1281,0
1282,0
1283,0
1284,0
1285,1
1286,1
1287,1
1288,0
1289,0
1290,0
1291,0
1292,1
1293,0
1294,0
1295,0
1296,0
1297,0
1298,0
1299,1
1300,1
1301,1
1302,1
1303,0
1304,1
1305,1
1306,0
1307,0
1308,1
1309,0
